Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
1,ARIHANT.NS,789.65,4.16K,Finance,Real Estate Development,98.0,22.0,,,49.3214,48.45,7.01K,10.11K,1100.0,39.65,8.58B,No,861.28,,850.52,
2,SELECTRIC.BO,1752.7,95.12K,Electronic Technology,Electronic Production Equipment,98.0,,,,67.4443,3.6214,2.32K,5.36K,1752.7,155.1,21.20B,No,,,,
3,MODMA.BO,62.79,0.60K,Producer Manufacturing,Metal Fabrication,98.0,1.0,98.0,98.0,1.4307,0.8664,3.63K,1.01K,85.79,1.1,7.32B,No,67.82,23.88,69.21,33.89
4,SESHACHAL.BO,76.79,1.27K,Technology Services,Information Technology Services,98.0,2.0,1.0,91.0,1.1871,0.0,0.33K,0.41K,105.31,2.39,53.32M,No,94.35,65.72,92.28,85.62
5,KETOMOTORS.BO,228.8,2.88K,Process Industries,Chemicals: Agricultural,98.0,97.0,97.0,97.0,4.1357,0.0,5.42K,3.94K,228.8,4.57,16.12B,No,142.67,104.22,157.3,113.37
6,SAMTELIN.BO,57.51,19.92K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,88.0,98.0,98.0,1.4279,0.6764,6.62K,21.52K,62.4,1.89,407.63M,No,46.31,17.84,49.46,26.18
7,MRUTR.BO,60.0,62.32K,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,0.9764,0.0279,0.50K,0.98K,60.39,0.46,43.35B,No,39.62,15.65,43.8,23.08
8,APOLLOIN.BO,94.6,0.12K,Process Industries,Agricultural Commodities/Milling,98.0,97.0,98.0,98.0,1.65,0.2507,5.81K,6.46K,94.6,5.16,983.84M,No,63.89,24.06,69.41,34.24
9,JTLDEFENCE.BO,558.7,1.34K,Non-Energy Minerals,Other Metals/Minerals,98.0,97.0,99.0,98.0,10.1179,0.0,2.55K,1.26K,558.7,51.23,5.88B,No,376.36,142.09,406.28,185.16
10,TANDHANIN.BO,148.85,6.10K,Finance,Investment Banks/Brokers,98.0,93.0,98.0,98.0,3.675,2.2357,1.31K,7.51K,154.85,10.48,7.41B,No,113.52,46.13,122.58,64.57
11,SALSAIN.BO,236.0,0.76K,Finance,Financial Conglomerates,98.0,48.0,0.0,98.0,10.8143,9.9179,1.21K,0.49K,828.95,14.58,1.65B,No,274.53,203.72,251.53,293.31
12,ISERA.BO,139.7,8.05K,Technology Services,Packaged Software,98.0,98.0,97.0,98.0,2.255,0.0021,3.41K,2.24K,139.7,1.57,1.17B,No,94.56,42.1,101.92,60.66
13,SMTEL.BO,421.2,0.22K,Commercial Services,Miscellaneous Commercial Services,98.0,53.0,16.0,96.0,24.825,24.0464,0.38K,0.37K,494.85,23.35,7.61B,No,416.1,280.57,409.79,369.44
14,KARTKIN.BO,9414.75,0.01K,Finance,Financial Conglomerates,98.0,60.0,98.0,98.0,274.7857,71.9572,0.02K,0.04K,10741.85,1036.0,2.30B,No,8321.19,3228.64,8688.62,4292.42
15,EASTSILK.NS,49.6,0.38K,Process Industries,Textiles,98.0,9.0,3.0,2.0,2.8721,2.7479,1.50K,0.63K,99.25,1.8,248.00M,No,54.62,64.94,53.16,64.28
16,CALLISTA.BO,189.4,0.00K,Consumer Durables,Home Furnishings,98.0,79.0,7.0,93.0,1.2357,0.3143,1.90K,0.38K,225.95,8.33,766.42M,No,163.19,130.92,167.49,164.94
17,LIPPISYS.BO,182.3,34.68K,Producer Manufacturing,Industrial Machinery,98.0,98.0,98.0,98.0,13.0857,10.0779,38.62K,38.65K,235.0,19.9,1.28B,No,117.36,53.98,132.48,69.61
18,PARMSILK.BO,370.2,0.10K,Process Industries,Textiles,98.0,98.0,98.0,98.0,11.7,0.0,0.09K,0.54K,370.2,31.19,1.11B,No,173.37,104.88,205.07,129.86
19,BATLIBOI.NS,82.89,32.61K,Producer Manufacturing,Industrial Machinery,98.0,70.0,,,4.4393,4.4393,34.97K,109.62K,97.45,15.7,3.91B,No,80.76,,80.24,
20,VINRKLB.BO,34.49,3.17K,Health Technology,Pharmaceuticals: Major,98.0,2.0,10.0,98.0,0.7029,0.4264,3.46K,0.65K,46.65,4.5,207.91M,No,38.97,20.62,38.2,28.66
21,TRADWIN.BO,513.15,0.01K,Consumer Services,Other Consumer Services,98.0,2.0,11.0,89.0,18.5179,11.7786,0.05K,0.02K,846.45,47.04,1.54B,No,610.49,439.24,610.58,596.44
22,RANJITSE.BO,59.78,0.01K,Finance,Finance/Rental/Leasing,98.0,2.0,1.0,98.0,0.3257,0.04,0.58K,0.03K,122.1,6.24,160.65M,No,70.22,,68.78,64.51
23,SPICEISLIN.BO,511.65,9.83K,Process Industries,Textiles,98.0,86.0,93.0,98.0,27.5393,26.35,20.39K,19.55K,549.0,42.56,3.19B,No,415.99,235.54,437.26,311.25
24,EMROCK.BO,279.35,1.53K,Consumer Durables,Homebuilding,98.0,19.0,43.0,91.0,18.0786,18.0464,3.16K,2.20K,305.95,24.19,4.42B,No,283.23,201.58,282.1,258.56
25,SHANTAI.BO,94.15,2.07K,Process Industries,Textiles,98.0,20.0,89.0,98.0,0.2057,0.0,7.86K,1.62K,102.01,11.15,706.12M,No,95.7,44.4,97.47,59.86
26,STLTECH.NS,585.15,2613.37K,Technology Services,Information Technology Services,98.0,8.0,98.0,98.0,33.4321,31.0607,4900.20K,1923.87K,679.9,84.6,300.71B,No,504.94,229.86,540.56,289.28
27,CUPID.NS,213.09,65078.96K,Consumer Non-Durables,Household/Personal Care,98.0,98.0,97.0,96.0,7.07,6.6936,19797.54K,23782.58K,214.0,21.29,286.53B,No,145.99,92.22,157.18,111.69
28,HIKLASS.BO,72.11,0.01K,Finance,Investment Banks/Brokers,98.0,2.0,67.0,97.0,1.3443,0.5514,0.30K,0.23K,108.35,6.49,2.18B,No,88.11,45.53,84.98,59.25
29,COVANCE.BO,201.6,0.47K,Technology Services,Information Technology Services,98.0,97.0,51.0,96.0,8.1036,6.0357,4.48K,5.63K,201.6,19.32,4.46B,No,168.24,128.69,172.0,158.9
30,APPL.BO,229.25,7.20K,Distribution Services,Medical Distributors,98.0,47.0,90.0,98.0,4.0393,1.4964,16.98K,10.93K,238.8,32.32,3.93B,No,200.23,,208.67,144.14
31,AHLWEST.NS,587.65,0.40K,Consumer Services,Hotels/Resorts/Cruise Lines,98.0,55.0,98.0,98.0,31.5679,21.3429,2.46K,1.13K,751.4,137.0,6.85B,No,553.98,251.89,581.35,305.55
32,AXISOL.BO,305.0,11.12K,Technology Services,Information Technology Services,98.0,38.0,78.0,98.0,4.55,2.9821,4.34K,1.94K,350.0,15.0,14.38B,No,290.29,158.81,295.43,210.43
33,SWANDEF.NS,2294.5,8.07K,Producer Manufacturing,Trucks/Construction/Farm Machinery,98.0,84.0,81.0,93.0,88.5643,85.6357,20.74K,20.21K,2489.0,264.57,120.88B,No,2004.81,1539.36,2059.31,1876.47
34,SIMANDHAR.BO,136.65,1.03K,Distribution Services,Wholesale Distributors,98.0,20.0,28.0,98.0,9.4571,8.3393,2.74K,0.30K,180.95,21.5,417.73M,No,149.33,,149.31,
35,TRANSCHEM.BO,328.45,33.34K,Health Technology,Pharmaceuticals: Other,97.0,89.0,96.0,95.0,10.7071,7.3821,4.82K,4.56K,356.15,38.31,4.02B,No,248.66,159.13,266.81,200.62
36,SHENTRA.BO,107.2,0.10K,Process Industries,Chemicals: Specialty,97.0,93.0,93.0,97.0,0.2957,0.0,0.04K,0.09K,107.2,16.65,475.77M,No,90.11,,93.45,67.45
37,GUJINJEC.BO,130.85,104.40K,Distribution Services,Medical Distributors,97.0,82.0,88.0,98.0,5.6893,5.4464,41.09K,57.30K,137.0,19.01,1.92B,No,113.52,62.04,116.94,80.66
38,STELLANT.BO,601.35,8.94K,Finance,Investment Banks/Brokers,97.0,77.0,6.0,92.0,32.6536,32.525,2.82K,1.84K,683.8,58.09,3.33B,No,558.53,473.35,560.25,580.11
39,SANGINITA.NS,46.76,270.28K,Process Industries,Chemicals: Specialty,97.0,97.0,97.0,98.0,0.8071,0.1121,186.41K,164.48K,46.76,9.09,1.21B,No,31.2,17.3,34.27,21.31
40,SIGMAADV.NS,539.35,339.96K,Technology Services,Information Technology Services,97.0,86.0,98.0,97.0,29.2607,23.3179,450.08K,387.19K,638.1,95.53,95.05B,No,420.38,239.16,455.78,275.95
41,NEWMKTAVE.BO,40.27,0.00K,Finance,Investment Managers,97.0,94.0,97.0,98.0,0.4186,0.0,,,40.27,9.1,198.93M,No,28.53,15.8,30.62,19.47
42,HYPERSOFT.BO,209.0,2.01K,Commercial Services,Miscellaneous Commercial Services,97.0,72.0,92.0,97.0,4.2786,3.7714,9.98K,8.68K,216.8,34.66,17.65B,No,174.03,105.74,182.52,122.37
43,MAGNUS.BO,75.04,5.61K,Commercial Services,Miscellaneous Commercial Services,97.0,0.0,6.0,96.0,4.1436,0.0107,59.97K,123.47K,223.4,8.33,253.66M,No,135.77,67.24,125.93,89.63
44,AANCHALISP.BO,103.0,0.65K,Producer Manufacturing,Metal Fabrication,97.0,98.0,98.0,98.0,5.8486,3.6264,10.48K,59.79K,508.0,7.62,436.03M,No,63.13,184.09,70.31,36.72
45,JETMALL.BO,91.15,6.00K,Distribution Services,Food Distributors,97.0,95.0,98.0,96.0,1.6529,0.0929,15.20K,17.33K,91.15,15.11,546.25M,No,63.1,43.14,68.22,47.27
46,EMAINDIA.BO,811.3,0.39K,Producer Manufacturing,Industrial Machinery,97.0,18.0,94.0,94.0,22.0821,15.1036,3.14K,1.07K,876.75,86.5,815.36M,No,731.34,483.05,764.28,554.36
47,GLITTEKG.BO,44.66,8.84K,Non-Energy Minerals,Construction Materials,97.0,73.0,44.0,98.0,0.7664,0.0071,25.50K,4.09K,80.2,7.0,1.16B,No,43.5,30.96,43.17,40.4
48,JAYATMA.BO,48.96,0.01K,Process Industries,Textiles,97.0,0.0,98.0,98.0,0.8543,0.1564,0.16K,0.02K,70.18,13.33,146.88M,No,52.34,24.22,53.91,29.46
49,BHAGYANGR.NS,390.05,79.49K,Producer Manufacturing,Electrical Products,97.0,89.0,97.0,97.0,20.625,17.6036,329.88K,164.57K,432.3,78.0,12.48B,No,325.79,190.93,335.54,224.18
50,INTEGFD.BO,144.6,0.59K,Process Industries,Agricultural Commodities/Milling,97.0,59.0,95.0,98.0,6.3607,6.0893,3.86K,2.97K,155.0,20.71,2.71B,No,133.18,64.4,138.93,81.03
51,NATHUEC.BO,33.57,8.31K,Transportation,Air Freight/Couriers,97.0,19.0,98.0,97.0,0.6014,0.3343,14.71K,5.90K,39.68,7.52,139.16M,No,30.75,16.93,32.87,19.6
52,PHCAP.BO,970.0,2.84K,Finance,Investment Banks/Brokers,97.0,79.0,88.0,97.0,27.6143,27.6143,3.18K,2.33K,1005.0,165.05,2.91B,No,844.48,501.15,877.22,660.49
53,MODINSU.BO,527.7,48.79K,Producer Manufacturing,Electrical Products,97.0,94.0,97.0,97.0,33.825,32.0214,116.28K,98.05K,579.0,97.55,24.88B,No,431.09,255.14,454.93,312.04
